ID,Nome,Tipo,GlobalId,Descrição,Modelo,Unidade de Medida
2799,Basic Wall:15cm - Pintura Branca / Pintura Branca:860500,IfcWall,0Q9OcOgFXBwAsWnAPEODhY,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
2837,Basic Wall:15cm - Pintura Branca / Pintura Branca:860713,IfcWallStandardCase,0Q9OcOgFXBwAsWnAPEODcV,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
2887,Basic Wall:15cm - Pintura Branca / Pintura Branca:860990,IfcWallStandardCase,0Q9OcOgFXBwAsWnAPEODY8,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
2938,Basic Wall:15cm - Pintura Branca / Pintura Branca:861134,IfcWallStandardCase,0Q9OcOgFXBwAsWnAPEODXu,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
2976,Basic Wall:15cm - Pintura Branca / Pintura Branca:861579,IfcWallStandardCase,0Q9OcOgFXBwAsWnAPEODuz,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
3051,Basic Wall:15cm - Pintura Branca / Pintura Branca:861741,IfcWall,0Q9OcOgFXBwAsWnAPEODsR,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
3088,Basic Wall:15cm - Pintura Branca / Pintura Branca:861982,IfcWallStandardCase,0Q9OcOgFXBwAsWnAPEODoe,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
3124,Basic Wall:15cm - Pintura Branca / Pintura Branca:862043,IfcWallStandardCase,0Q9OcOgFXBwAsWnAPEODpj,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
3199,Basic Wall:15cm - Pintura Branca / Pintura Branca:862243,IfcWall,0Q9OcOgFXBwAsWnAPEODEL,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
3301,Basic Wall:15cm - Pintura Branca / Pintura Branca:862466,IfcWall,0Q9OcOgFXBwAsWnAPEODAq,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
3326,Basic Wall:15cm - Pintura Branca / Pintura Branca:862615,IfcWallStandardCase,0Q9OcOgFXBwAsWnAPEOD8X,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
3351,Basic Wall:15cm - Pintura Branca / Pintura Branca:862689,IfcWallStandardCase,0Q9OcOgFXBwAsWnAPEOD9N,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
3388,Basic Wall:15cm - Pintura Branca / Pintura Branca:862733,IfcWallStandardCase,0Q9OcOgFXBwAsWnAPEOD6x,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
3424,Basic Wall:15cm - Pintura Branca / Pintura Branca:862809,IfcWallStandardCase,0Q9OcOgFXBwAsWnAPEOD7l,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
3495,Basic Wall:15cm - Pintura Branca / Pintura Branca:862941,IfcWallStandardCase,0Q9OcOgFXBwAsWnAPEOD5h,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
3628,Basic Wall:15cm - Pintura Branca / Pintura Branca:863293,IfcWall,0Q9OcOgFXBwAsWnAPEODUB,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
